4150,date,division number_x,title,uin,uri_x,224,division number_y,uri_y
no,2008-11-04,310.0,"Employment Bill (Lords), Clause 19, Question put, That the amendment 10 be made",CD:2008-11-04:310,http://data.parliament.uk/resources/104210,,,
no,2008-11-03,307.0,"Dormant Bank and Building Society Accounts Bill (Lords), Question put, That the new clause 1 be read a Second time",CD:2008-11-03:307,http://data.parliament.uk/resources/104207,,,
no,2008-11-03,308.0,"Dormant Bank and Building Society Accounts Bill (Lords), Clause 5, Question put, That the amendments 10, 11 and 12 be made.",CD:2008-11-03:308,http://data.parliament.uk/resources/104208,,,
no,2008-10-29,299.0,"Olympic Legacy, Question put, That the original words stand part of the Question",CD:2008-10-29:299,http://data.parliament.uk/resources/104199,,,
no,2008-10-28,295.0,"Climate Change Bill (Lords), New clause 11.  Brought up and read the First time.  Question put, That the clause be added to the Bill.",CD:2008-10-28:295,http://data.parliament.uk/resources/104195,,,
no,2008-10-28,296.0,"Climate Change Bill) (Lords), New Clause 14.  Brought up, and read the First time. Question put, That the clause be added to the Bill.",CD:2008-10-28:296,http://data.parliament.uk/resources/104196,,,
no,2008-10-27,289.0,"Local Transport Bill, Question put, That the amendment be made, new clause: (b), in line 31",CD:2008-10-27:289,http://data.parliament.uk/resources/104189,,,
no,2008-10-27,290.0,"Local Transport Bill, Question put, That the amendment be made, new clause: (b), in line 12",CD:2008-10-27:290,http://data.parliament.uk/resources/104190,,,
no,2008-10-27,292.0,"Local Transport Bill, pursuant to Order (26 March), amendments to Clauses 1, 3, 6, 8, 9, 12, 18 and 19",CD:2008-10-27:292,http://data.parliament.uk/resources/104192,,,
no,2008-10-27,293.0,"Local Transport Bill, pursuant to Order (26 March), amendments to Clauses 19-23, 26, 28, 30, 32-37, 39, 44, 59, 68, 69, 73, 76 and 78",CD:2008-10-27:293,http://data.parliament.uk/resources/104193,,,
