515,date,division number,title,uin,uri
no,2008-11-24,333.0,"PLANNING BILL (PROGRAMME) (No. 4) Motion made, and Question put forthwith, pursuant to Standing Order No. 83A(7) (Programme motions)",CD:2008-11-24:333,http://data.parliament.uk/resources/104233
no,2008-11-24,334.0,"Planning Bill, Question put, That this House disagrees with the Lords in the said amendment (No115)",CD:2008-11-24:334,http://data.parliament.uk/resources/104234
no,2008-11-24,335.0,"Planning Bill, Question put, That this House disagrees with the Lords in the said amendment (No160)",CD:2008-11-24:335,http://data.parliament.uk/resources/104235
no,2008-11-19,330.0,"Counter-Terrorism Bill, Question put, That this House disagrees with the Lords in the said amendment (No2)",CD:2008-11-19:330,http://data.parliament.uk/resources/104230
no,2008-11-19,331.0,"Counter-Terrorism Bill, Question put, That this House disagrees with the Lords in the said amendment (No106)",CD:2008-11-19:331,http://data.parliament.uk/resources/104231
no,2008-11-17,325.0,"Education and Skills Bill, Question put, That this House agrees with the Lords in the said amendment",CD:2008-11-17:325,http://data.parliament.uk/resources/104225
no,2008-11-12,316.0,"That the motions in the name of Ms Harriet Harman, Regional Select Committees, European Scrutiny (Standing Orders) and Modernisation of the House of Commons (Changes to Standing Orders) and Speaker’s Conference be put",CD:2008-11-12:316,http://data.parliament.uk/resources/104216
no,2008-11-12,319.0,"Regional Accountability, Main Question, as amended, put",CD:2008-11-12:319,http://data.parliament.uk/resources/104219
no,2008-11-10,312.0,"Economic Crisis, Question, That the proposed words be there added, put forthwith , pursuant to Standing Order No. 31 (Questions on amendments)",CD:2008-11-10:312,http://data.parliament.uk/resources/104212
no,2008-11-10,314.0,"Post Office Card Account, Question, That the proposed words be there added, put forthwith, pursuant to Standing Order No. 31 (Questions on amendments)",CD:2008-11-10:314,http://data.parliament.uk/resources/104214
no,2008-11-04,309.0,"Employment Bill (Lords), New Clause 2, Question put, That the clause be read a Second time",CD:2008-11-04:309,http://data.parliament.uk/resources/104209
no,2008-10-27,291.0,"Local Transport Bill, It being 21:00hrs, Mr. Deputy Spk proceeded to put forthwith the Questions necessary for the disposal of Business to be concluded at that hour, pursuant to Order (26 March), New clauses 12-19 and 23",CD:2008-10-27:291,http://data.parliament.uk/resources/104191
no,2008-10-27,294.0,"Local Transport Bill, pursuant to Order (26 March), Question put that the bill now read the Third time",CD:2008-10-27:294,http://data.parliament.uk/resources/104194
no,2008-10-22,281.0,"Political Parties and Elections Bill) (Carry-over), That if, at the conclusion of this Session of Parliament, proceedings on the Bill have not been completed, they shall be resumed in the next Session",CD:2008-10-22:281,http://data.parliament.uk/resources/104181
no,2008-10-22,283.0,"Human Fertilisation and Embryology Bill (Lords) (Programme) (No. 2), be varied",CD:2008-10-22:283,http://data.parliament.uk/resources/104183
no,2008-10-22,284.0,"Human Fertilisation and Embryology Bill (Lords), Question put, That the amendment be made (41, 47, 73 and New clause 24)",CD:2008-10-22:284,http://data.parliament.uk/resources/104184
no,2008-10-22,285.0,"Human Fertilisation and Embryology Bill (Lords), It being after 6PM, Mr. Speaker proceeded to put the Questions necessary for the disposal of the business to be concluded at that hour, pursuant to Order (this day), Amd 41",CD:2008-10-22:285,http://data.parliament.uk/resources/104185
no,2008-10-22,286.0,"Human Fertilisation and Embryology Bill (Lords), Question put pursuant to Order (this day), Clause 4 Amenments 4 and 47",CD:2008-10-22:286,http://data.parliament.uk/resources/104186
no,2008-10-22,287.0,"Human Fertilisation and Embryology Bill (Lords), Question put pursuant to Order (this day), Amenments 5, 6, 75, 8 to 20 and 50",CD:2008-10-22:287,http://data.parliament.uk/resources/104187
no,2008-10-21,278.0,"Immigration Controls, Question, That the proposed words be there added, put forthwith, pursuant to Standing Order No. 31 (Questions on amendments)",CD:2008-10-21:278,http://data.parliament.uk/resources/104178
no,2008-10-21,280.0,"Economic Performance and Business, Question, That the proposed words be there added, put forthwith, pursuant to Standing Order No. 31 (Questions on amendments)",CD:2008-10-21:280,http://data.parliament.uk/resources/104180
no,2008-10-20,276.0,"Political Parties and Elections Bill, Main Question put forthwith, pursuant to Standing Order No. 62 (Amendment on second or third reading)",CD:2008-10-20:276,http://data.parliament.uk/resources/104176
no,2008-10-07,270.0,"Unemployment in the UK, Question, That the proposed words be there added, put forthwith, pursuant to Standing Order No. 31 (Questions on amendments)",CD:2008-10-07:270,http://data.parliament.uk/resources/104170
no,2008-07-14,263.0,Employment bill (lords) (Programme),CD:2008-07-14:263,http://data.parliament.uk/resources/104163
no,2008-07-09,258.0,"PRISONS That the draft Northern Ireland (Sentences) Act 1998 (Specified Organisations) Order 2008, which was laid before this House on 14 May, be approved.",CD:2008-07-09:258,http://data.parliament.uk/resources/104158
no,2008-07-09,260.0,"Cost of Living, Question, That the proposed words be there added, put forthwith, pursuant to Standing Order No. 31 (Questions on amendments)",CD:2008-07-09:260,http://data.parliament.uk/resources/104160
no,2008-07-08,254.0,Criminal Evidence (Witness Anonymity) Bill (Allocation of Time),CD:2008-07-08:254,http://data.parliament.uk/resources/104154
no,2008-07-02,249.0,"Finance Bill, Question put, That the Bill be now read the Third time",CD:2008-07-02:249,http://data.parliament.uk/resources/104149
no,2008-06-25,230.0,On the motion on diplomatic and consular protection of Union citizens in third countries European Union Document No. 5947/08 and Addenda 1 and 2,CD:2008-06-25:230,http://data.parliament.uk/resources/104130
no,2008-06-25,231.0,"Planning Bill (Programme) (No. 3), Motion made, and Question proposed",CD:2008-06-25:231,http://data.parliament.uk/resources/104131
no,2008-06-25,236.0,"Planning Bill, being 8 o’clock, Mr. Deputy Speaker proceeded to put forthwith the Question already proposed from the Chair, pursuant to Orders (2 June and this day) Question put, That the Bill be now read the Third time",CD:2008-06-25:236,http://data.parliament.uk/resources/104136
no,2008-06-17,225.0,"Sentencing Policy, Question, That the proposed words be there added , put forthwith, pursuant to Standing Order No. 31 (Questions on amendments)",CD:2008-06-17:225,http://data.parliament.uk/resources/104125
